Id_Ext_Dominio;ids;Url_pagina;Endereco_IP;Titulo_pagina;qtd_linhas_Pagina;Idioma_pagina;Data
21.0;21;https://www.xnxx.com/;185.88.181.56;Free Porn, Sex, Tube Videos, XXX Pics, Pussy in Porno Movies - XNXX.COM;203924.0;en;2020-07-07 21:36:01
20.0;20;https://www.redtube.com/;216.18.168.124;Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno;358051.0;en;2020-07-07 21:35:10
19.0;19;https://www.youporn.com/;66.254.114.79;Free Porn Videos - HD Porno Tube & XXX Sex Videos | YouPorn;442382.0;en;2020-07-07 21:33:43
18.0;18;https://beeg.com/;192.243.54.98;beeg.;253375.0;en;2020-07-07 21:33:29
17.0;17;https://fapdu.com/;104.28.29.155;Free Porn Videos & Sex Movies - Porno, XXX, Porn Tube | Pornhub;417488.0;en;2020-07-07 21:32:34
16.0;16;https://animesonline.vip/;172.67.172.123;Animes Online - Assistir Animes Online Grátis Dublado e Legendado;97239.0;pt;2020-07-07 21:24:23
15.0;15;https://www.animefreak.tv/;172.67.200.238;;;;
;            Animefreak.TV - Watch Anime Online for Free. Subbed & Dubbed;;;;;;
79525.0;        ;en;2020-07-07 21:24:02;;;;
14.0;14;https://animesonlines.site/;104.24.127.154;Animes Online | ✅ Assistir Animes Online Completo Dublado E Legendado ✅;107044.0;pt;2020-07-07 21:23:52
13.0;13;https://unionleitor.top/aws;104.31.13.175;Union Mangás - Leitor Online em Português;57852.0;pt;2020-07-07 21:23:26
12.0;12;http://centraldemangas.online/;51.15.12.43;Central de Mangás;137892.0;pt;2020-07-07 21:22:37
11.0;11;https://mangaplus.shueisha.co.jp/manga_list/all;13.227.106.125;MANGA Plus by SHUEISHA;2932.0;jaen;2020-07-07 21:22:35
